#URI 1	Label 1	URI 2	Label 2	Confidence	Family votes	Families	System votes	Systems
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Left_subclavian_artery	left subclavian artery	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Left_Subclavian_Artery	left subclavian artery	1.0	17	ALOD2Vec;AML;Alin;DKPAOM;DKPAOMLite;DOME;FCA-Map;FCAMapX;KEPLER;Lily;LogMap;ONTOEMMA;POMAP;SANOM;WikiV3;XMap;YAM	23	ALOD2Vec;AML;Alin;DKPAOM;DKPAOMLite;DOME;FCAMapX;FCA_Map;KEPLER;LYAM;Lily;LogMap;LogMapBio;LogMapLite;LogMapLt;ONTOEMMA;POMAP;POMAP++;SANOM;WikiV3;XMap;XMap2;YAMBIO
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Phenylalanine	phenylalanine	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Phenylalanine	2-amino-3-phenyl-pronanoic acid	1.0	17	ALOD2Vec;AML;Alin;DKPAOM;DKPAOMLite;DOME;FCA-Map;FCAMapX;KEPLER;Lily;LogMap;ONTOEMMA;POMAP;SANOM;WikiV3;XMap;YAM	23	ALOD2Vec;AML;Alin;DKPAOM;DKPAOMLite;DOME;FCAMapX;FCA_Map;KEPLER;LYAM;Lily;LogMap;LogMapBio;LogMapLite;LogMapLt;ONTOEMMA;POMAP;POMAP++;SANOM;WikiV3;XMap;XMap2;YAMBIO
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Subclavius	musculus subclavius	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Subclavius	subclavius	1.0	17	ALOD2Vec;AML;Alin;DKPAOM;DKPAOMLite;DOME;FCA-Map;FCAMapX;KEPLER;Lily;LogMap;ONTOEMMA;POMAP;SANOM;WikiV3;XMap;YAM	23	ALOD2Vec;AML;Alin;DKPAOM;DKPAOMLite;DOME;FCAMapX;FCA_Map;KEPLER;LYAM;Lily;LogMap;LogMapBio;LogMapLite;LogMapLt;ONTOEMMA;POMAP;POMAP++;SANOM;WikiV3;XMap;XMap2;YAMBIO
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Cuneiform_cartilage	cartilage of morgagni	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Cuneiform_Cartilage	cuneiform cartilage	1.0	17	ALOD2Vec;AML;Alin;DKPAOM;DKPAOMLite;DOME;FCA-Map;FCAMapX;KEPLER;Lily;LogMap;ONTOEMMA;POMAP;SANOM;WikiV3;XMap;YAM	23	ALOD2Vec;AML;Alin;DKPAOM;DKPAOMLite;DOME;FCAMapX;FCA_Map;KEPLER;LYAM;Lily;LogMap;LogMapBio;LogMapLite;LogMapLt;ONTOEMMA;POMAP;POMAP++;SANOM;WikiV3;XMap;XMap2;YAMBIO
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Alveolar_macrophage	alveolar macrophage	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Alveolar_Macrophage	macrophages, alveolar	0.98	16	ALOD2Vec;AML;Alin;DKPAOM;DKPAOMLite;FCA-Map;FCAMapX;KEPLER;Lily;LogMap;ONTOEMMA;POMAP;SANOM;WikiV3;XMap;YAM	22	ALOD2Vec;AML;Alin;DKPAOM;DKPAOMLite;FCAMapX;FCA_Map;KEPLER;LYAM;Lily;LogMap;LogMapBio;LogMapLite;LogMapLt;ONTOEMMA;POMAP;POMAP++;SANOM;WikiV3;XMap;XMap2;YAMBIO
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Eyelash	eyelash	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Eyelash	eyelash	1.0	17	ALOD2Vec;AML;Alin;DKPAOM;DKPAOMLite;DOME;FCA-Map;FCAMapX;KEPLER;Lily;LogMap;ONTOEMMA;POMAP;SANOM;WikiV3;XMap;YAM	23	ALOD2Vec;AML;Alin;DKPAOM;DKPAOMLite;DOME;FCAMapX;FCA_Map;KEPLER;LYAM;Lily;LogMap;LogMapBio;LogMapLite;LogMapLt;ONTOEMMA;POMAP;POMAP++;SANOM;WikiV3;XMap;XMap2;YAMBIO
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Pancreas	pancreas	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Pancreas	gastrointestinal tract, pancreas	1.0	17	ALOD2Vec;AML;Alin;DKPAOM;DKPAOMLite;DOME;FCA-Map;FCAMapX;KEPLER;Lily;LogMap;ONTOEMMA;POMAP;SANOM;WikiV3;XMap;YAM	23	ALOD2Vec;AML;Alin;DKPAOM;DKPAOMLite;DOME;FCAMapX;FCA_Map;KEPLER;LYAM;Lily;LogMap;LogMapBio;LogMapLite;LogMapLt;ONTOEMMA;POMAP;POMAP++;SANOM;WikiV3;XMap;XMap2;YAMBIO
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Nasal_cartilage	nasal cartilage	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Nasal_Cartilage	nasal cartilage	0.98	16	ALOD2Vec;AML;Alin;DKPAOM;DKPAOMLite;DOME;FCA-Map;FCAMapX;KEPLER;Lily;LogMap;ONTOEMMA;SANOM;WikiV3;XMap;YAM	21	ALOD2Vec;AML;Alin;DKPAOM;DKPAOMLite;DOME;FCAMapX;FCA_Map;KEPLER;LYAM;Lily;LogMap;LogMapBio;LogMapLite;LogMapLt;ONTOEMMA;SANOM;WikiV3;XMap;XMap2;YAMBIO
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Trigeminal_nerve	nervus trigeminus	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Trigeminal_Nerve	cranial nerve v	0.98	16	ALOD2Vec;AML;Alin;DKPAOM;DKPAOMLite;DOME;FCA-Map;FCAMapX;KEPLER;LogMap;ONTOEMMA;POMAP;SANOM;WikiV3;XMap;YAM	22	ALOD2Vec;AML;Alin;DKPAOM;DKPAOMLite;DOME;FCAMapX;FCA_Map;KEPLER;LYAM;LogMap;LogMapBio;LogMapLite;LogMapLt;ONTOEMMA;POMAP;POMAP++;SANOM;WikiV3;XMap;XMap2;YAMBIO
http://bioontology.org/projects/ontologies/fma/fmaOwlDlComponent_2_0#Nuclear_matrix	matrix of cell nucleus	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Nuclear_Matrix	nuclear matrix	1.0	17	ALOD2Vec;AML;Alin;DKPAOM;DKPAOMLite;DOME;FCA-Map;FCAMapX;KEPLER;Lily;LogMap;ONTOEMMA;POMAP;SANOM;WikiV3;XMap;YAM	22	ALOD2Vec;AML;Alin;DKPAOM;DKPAOMLite;DOME;FCAMapX;FCA_Map;KEPLER;LYAM;Lily;LogMapBio;LogMapLite;LogMapLt;ONTOEMMA;POMAP;POMAP++;SANOM;WikiV3;XMap;XMap2;YAMBIO
